API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 832cadc2-fd9b-4b7c-ba9b-8646080f2159): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 71fe9725-6eaa-4dd8-b8c8-af702ca0592c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 3076120d-5971-4b32-b588-224bf721c7c8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, b20bdc7b-954e-4213-88e5-a661ac8739fb): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, 568654c5-516a-42ae-a1a8-53a753750dd3): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, 9ccaf55c-b9fe-449e-8235-d0afd72f5053): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 70f5c76e-7b22-4297-80e8-7dd84b8252a2): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, db011f13-f77f-48b8-9636-bf8b69f26887): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, 5069559f-cd6e-4560-821d-75ea059c0fb0): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 75bbe807-d50b-4f69-9598-b852ade0711c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 48dc464e-36b6-463b-869c-bd342bb5c3cf): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, 08aaccdb-4f36-42c5-a2ad-76ada404a05d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, 9ce61172-c1f8-4cfb-a0bf-dc1ebfeb019c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 2e858348-5dda-4278-80ee-b300e9b57a80): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 5b6fa764-4c6c-4134-8c32-42fc7ed64aa5): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, 018ba3b4-f5d4-441f-b91e-a09522278564): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, c5a58b56-cb24-4856-af70-371e40d1765e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 3859152d-97f2-4bc4-806a-a63e271c12b8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, f6df36c5-2cc7-4de3-a4f8-2edb0c8179ac): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (006b13f0-b1ba-432d-8bd9-ec510fac7dce, 1f71ed16-b44c-4df8-8a0b-51eee8162649): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, f82079b2-47d8-42c4-a622-e936e4d36a73): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, f3f92893-a2b3-4d93-a5de-5388fe39d614): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, ffe5c018-c9fc-46c4-a171-af6017bd46ae): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, e36c8e00-bf84-4ed4-ab65-e6f0bb3a727f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, 19c328d3-7d25-4fbb-876b-bc7aa510c9ca): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, 276a7940-9766-4bcc-96fc-e2d8c1231cd4): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, 081b743e-867a-4f81-a1bd-61cc306f072b): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, 4f9b41df-a313-4837-8281-2dab65da4ba9): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, 7f87bd0b-6fab-49c0-9e56-b1910950321c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, 47e3c28e-e159-4994-9d4e-2fbe4563e2ae): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, 97d9a02a-5758-47d1-987a-4a1e909be325): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, c30c55f5-53fb-45bf-95cc-97aa5f49f645): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, d788e4e6-5bad-4c27-bdfe-7d25c852335d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, c98d6c19-6cbb-4ca0-a9e9-eaa944520026): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 0241ae6a-d52b-4b30-b5f0-0877f244e52e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, b74a4ae7-15d0-49f2-a43c-cfdd8c84717d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 1d531d87-ad5b-40f9-ba49-147bd3a2f250): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 22bd1408-3da0-4c6f-a4b7-e9fc9d4b6fa0): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01022bad-59ae-4b89-9047-44859551cc32, f1856830-ad8d-49a9-8b81-641e305dd65a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 30b09fe9-b29c-48ad-9b9a-dde6cf8c1c5c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 75bbe807-d50b-4f69-9598-b852ade0711c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 3f3c6d5c-b530-4afd-bf70-52c9df2fddb4): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 52612cee-5a77-4f2a-b7dc-aacceaa4fc48): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
