evaluation_type,datatype,strategy,sample_size,avg_f1,avg_precision,avg_recall,count
knn,bibkyoto,diversity,0,0.9745999999999999,1.0,0.9505,7
knn,bibkyoto,diversity,100,0.9758,0.9528,1.0,1
knn,bibkyoto,diversity,200,0.9922,0.9844,1.0,2
knn,bibkyoto,diversity,400,0.9984,0.9979,0.9989,1
knn,bibkyoto,inconsistency,0,0.9745999999999999,1.0,0.9505,7
knn,bibkyoto,inconsistency,100,0.9888,1.0,0.9779,1
knn,bibkyoto,inconsistency,200,1.0,1.0,1.0,1
knn,bibkyoto,inconsistency,400,0.9989,1.0,0.9979,1
knn,bibkyoto,random,0,0.9745999999999999,1.0,0.9505,7
knn,bibkyoto,random,100,0.9989,0.9979,1.0,1
knn,bibkyoto,random,200,0.9922,0.9844,1.0,1
knn,bibkyoto,random,400,0.9989,0.9989,0.9989,1
knn,bibkyoto,uncertainty,0,0.9745999999999999,1.0,0.9505,7
knn,bibkyoto,uncertainty,100,0.4003,0.2502,1.0,1
knn,bibkyoto,uncertainty,200,0.4003,0.2502,1.0,1
knn,bibkyoto,uncertainty,400,0.9974,0.9948,1.0,1
knn,music,diversity,0,0.9296,1.0,0.8684,5
knn,music,diversity,100,0.9989,1.0,0.9978,1
knn,music,diversity,200,0.9989,1.0,0.9978,2
knn,music,diversity,400,1.0,1.0,1.0,1
knn,music,inconsistency,0,0.9296,1.0,0.8684,5
knn,music,inconsistency,100,0.9308,1.0,0.8706,1
knn,music,inconsistency,200,0.9967,1.0,0.9934,1
knn,music,inconsistency,400,1.0,1.0,1.0,1
knn,music,random,0,0.9296,1.0,0.8684,5
knn,music,random,100,0.9613,1.0,0.9254,1
knn,music,random,200,1.0,1.0,1.0,1
knn,music,random,400,0.9956,1.0,0.9912,1
knn,music,uncertainty,0,0.9296,1.0,0.8684,5
knn,music,uncertainty,100,0.2606,0.1499,1.0,1
knn,music,uncertainty,200,0.9651,0.9325,1.0,1
knn,music,uncertainty,400,1.0,1.0,1.0,1
knn,person,diversity,0,0.8876,1.0,0.7978999999999999,3
knn,person,diversity,200,0.9786,1.0,0.958,2
knn,person,diversity,400,0.7651,0.6195,1.0,1
knn,person,inconsistency,0,0.8876,1.0,0.7978999999999999,3
knn,person,inconsistency,200,0.9914,1.0,0.9829,1
knn,person,inconsistency,400,0.9967,1.0,0.9934,1
knn,person,random,0,0.8876,1.0,0.7978999999999999,3
knn,person,random,200,1.0,1.0,1.0,1
knn,person,random,400,0.9993,1.0,0.9987,1
knn,person,uncertainty,0,0.8876,1.0,0.7978999999999999,3
knn,person,uncertainty,200,0.9974,0.9948,1.0,1
knn,person,uncertainty,400,0.9961,0.9922,1.0,1
knn,walmart,diversity,0,0.8387,1.0,0.7222,4
knn,walmart,diversity,100,0.7129,0.5538,1.0,1
knn,walmart,diversity,200,0.9722,0.9722,0.9722,1
knn,walmart,diversity,300,0.439,0.2812,1.0,1
knn,walmart,diversity,400,0.6239,0.4658,0.9444,1
knn,walmart,inconsistency,0,0.8387,1.0,0.7222,4
knn,walmart,inconsistency,100,0.9254,1.0,0.8611,1
knn,walmart,inconsistency,200,0.9565,1.0,0.9167,1
knn,walmart,inconsistency,300,0.0472,0.0275,0.1667,1
knn,walmart,inconsistency,400,0.0992,0.0536,0.6667,1
knn,walmart,random,0,0.8387,1.0,0.7222,4
knn,walmart,random,100,0.9412,1.0,0.8889,1
knn,walmart,random,200,0.96,0.9231,1.0,2
knn,walmart,random,300,0.8,1.0,0.6667,1
knn,walmart,random,400,0.8955,0.9677,0.8333,1
knn,walmart,uncertainty,0,0.8387,1.0,0.7222,4
knn,walmart,uncertainty,100,0.9722,0.9722,0.9722,2
knn,walmart,uncertainty,200,0.9565,1.0,0.9167,1
knn,walmart,uncertainty,300,0.9412,1.0,0.8889,1
knn,walmart,uncertainty,400,0.9412,1.0,0.8889,1
knn,wdc,diversity,0,0.7028,0.8418,0.6032,3
knn,wdc,diversity,100,0.8261,0.8069,0.8462,1
knn,wdc,diversity,200,0.8134,0.7196,0.9352,1
knn,wdc,diversity,300,0.81,0.7267,0.915,1
knn,wdc,inconsistency,0,0.7028,0.8418,0.6032,3
knn,wdc,inconsistency,100,0.7943,0.7066,0.9069,1
knn,wdc,inconsistency,200,0.6946,0.8868,0.5709,1
knn,wdc,inconsistency,300,0.8017,0.8468,0.7611,1
knn,wdc,random,0,0.7028,0.8418,0.6032,3
knn,wdc,random,100,0.7903,0.7871,0.7935,1
knn,wdc,random,200,0.7934,0.8101,0.7773,1
knn,wdc,random,300,0.8101,0.777,0.8462,1
knn,wdc,uncertainty,0,0.7028,0.8418,0.6032,3
knn,wdc,uncertainty,100,0.7993,0.712,0.9109,2
knn,wdc,uncertainty,200,0.8133,0.7147,0.9433,2
knn,wdc,uncertainty,300,0.834,0.8147,0.8543,2
all_pairs,bibkyoto,diversity,0,0.9863999999999999,1.0,0.9733,7
all_pairs,bibkyoto,diversity,100,0.8905,0.8026,1.0,1
all_pairs,bibkyoto,diversity,200,0.9918,0.9838,1.0,2
all_pairs,bibkyoto,diversity,400,0.9913,0.9838,0.999,1
all_pairs,bibkyoto,inconsistency,0,0.9863999999999999,1.0,0.9733,7
all_pairs,bibkyoto,inconsistency,100,0.9933,1.0,0.9866,1
all_pairs,bibkyoto,inconsistency,200,1.0,1.0,1.0,1
all_pairs,bibkyoto,inconsistency,400,0.9995,1.0,0.999,1
all_pairs,bibkyoto,random,0,0.9863999999999999,1.0,0.9733,7
all_pairs,bibkyoto,random,100,0.9918,0.9838,1.0,1
all_pairs,bibkyoto,random,200,0.9918,0.9838,1.0,1
all_pairs,bibkyoto,random,400,0.9918,0.9838,1.0,1
all_pairs,bibkyoto,uncertainty,0,0.9863999999999999,1.0,0.9733,7
all_pairs,bibkyoto,uncertainty,100,0.0154,0.0078,1.0,1
all_pairs,bibkyoto,uncertainty,200,0.0154,0.0078,1.0,1
all_pairs,bibkyoto,uncertainty,400,0.9918,0.9838,1.0,1
all_pairs,music,diversity,0,0.9719999999999999,1.0,0.9455,5
all_pairs,music,diversity,100,0.9956,1.0,0.9913,1
all_pairs,music,diversity,200,0.9956,1.0,0.9913,2
all_pairs,music,diversity,400,0.9967,1.0,0.9935,1
all_pairs,music,inconsistency,0,0.9719999999999999,1.0,0.9455,5
all_pairs,music,inconsistency,100,0.9754,1.0,0.9521,1
all_pairs,music,inconsistency,200,0.9956,1.0,0.9913,1
all_pairs,music,inconsistency,400,0.9967,1.0,0.9935,1
all_pairs,music,random,0,0.9719999999999999,1.0,0.9455,5
all_pairs,music,random,100,0.9811,1.0,0.963,1
all_pairs,music,random,200,0.9967,1.0,0.9935,1
all_pairs,music,random,400,0.9945,1.0,0.9891,1
all_pairs,music,uncertainty,0,0.9719999999999999,1.0,0.9455,5
all_pairs,music,uncertainty,100,0.0073,0.0037,1.0,1
all_pairs,music,uncertainty,200,0.6473,0.48,0.9935,1
all_pairs,music,uncertainty,400,0.9967,1.0,0.9935,1
all_pairs,person,diversity,0,0.9145,1.0,0.8424999999999999,3
all_pairs,person,diversity,200,0.9941,1.0,0.9882,2
all_pairs,person,diversity,400,0.1087,0.0575,1.0,1
all_pairs,person,inconsistency,0,0.9145,1.0,0.8424999999999999,3
all_pairs,person,inconsistency,200,1.0,1.0,1.0,1
all_pairs,person,inconsistency,400,1.0,1.0,1.0,1
all_pairs,person,random,0,0.9145,1.0,0.8424999999999999,3
all_pairs,person,random,200,1.0,1.0,1.0,1
all_pairs,person,random,400,1.0,1.0,1.0,1
all_pairs,person,uncertainty,0,0.9145,1.0,0.8424999999999999,3
all_pairs,person,uncertainty,200,0.9807,0.9621,1.0,1
all_pairs,person,uncertainty,400,0.9214,0.8543,1.0,1
all_pairs,walmart,diversity,0,0.8387,1.0,0.7222,4
all_pairs,walmart,diversity,100,0.6486,0.48,1.0,1
all_pairs,walmart,diversity,200,0.9863,0.973,1.0,1
all_pairs,walmart,diversity,300,0.3172,0.1885,1.0,1
all_pairs,walmart,diversity,400,0.4626,0.3063,0.9444,1
all_pairs,walmart,inconsistency,0,0.8387,1.0,0.7222,4
all_pairs,walmart,inconsistency,100,0.9254,1.0,0.8611,1
all_pairs,walmart,inconsistency,200,0.9565,1.0,0.9167,1
all_pairs,walmart,inconsistency,300,0.0083,0.0043,0.1667,1
all_pairs,walmart,inconsistency,400,0.0016,0.0008,0.75,1
all_pairs,walmart,random,0,0.8387,1.0,0.7222,4
all_pairs,walmart,random,100,0.9412,1.0,0.8889,1
all_pairs,walmart,random,200,0.96,0.9231,1.0,2
all_pairs,walmart,random,300,0.8,1.0,0.6667,1
all_pairs,walmart,random,400,0.8955,0.9677,0.8333,1
all_pairs,walmart,uncertainty,0,0.8387,1.0,0.7222,4
all_pairs,walmart,uncertainty,100,0.9722,0.9722,0.9722,2
all_pairs,walmart,uncertainty,200,0.9565,1.0,0.9167,1
all_pairs,walmart,uncertainty,300,0.9412,1.0,0.8889,1
all_pairs,walmart,uncertainty,400,0.9412,1.0,0.8889,1
